"","ZIP","Site","SKU","Desc","Cost","Price","Gross_Margin","Sales_Units_Total","Sales_Amount_Total","TotalPop","male_csum","female_csum","LAT","LNG"
"1","15219","3073","188470","RSH MD WHT LOOP DA LOOP",9.75,28,0.651785,0,0,16696,916,856,40.443184,-79.983064
"2","15222","3086","188470","RSH MD WHT LOOP DA LOOP",9.75,28,0.651785,0,0,3294,30,28,40.447691,-79.993445
"3","20001","229","234216","*HK TEE MNT KIDS",10.63,24.99,0.574629,0,0,38551,1824,1833,38.910353,-77.017739
"4","20001","200","234215","*HK TEE WHT KIDS",10.63,24.99,0.574629,0,0,38551,1824,1833,38.910353,-77.017739
"5","20001","200","234216","*HK TEE MNT KIDS",10.63,24.99,0.574629,0,0,38551,1824,1833,38.910353,-77.017739
"6","20745","3802","377533","NECKLACE, ""ROSEMARY"", TWILIGHT",16,380,0.957894,0,0,28451,2814,2780,38.806935,-76.995672
"7","20745","3802","377555","NECKLACE, ""HEATHER"", ICED DENI",14.5,135,0.892592,0,0,28451,2814,2780,38.806935,-76.995672
"8","20745","3802","377526","NECKLACE, TWILIGHT COLLECTION,",23,360,0.936111,0,0,28451,2814,2780,38.806935,-76.995672
"9","20745","3802","377396","BRACELET, CHAIN MULTI STARDUST",39,90,0.566666,0,0,28451,2814,2780,38.806935,-76.995672
"10","20745","3802","377585","RING, STAR BUTTON RHAPSODY, RC",26,64,0.59375,0,0,28451,2814,2780,38.806935,-76.995672
"11","20745","3802","377529","NECKLACE, ""CHAR"", BURGUNDY HAR",17.5,235,0.925531,0,0,28451,2814,2780,38.806935,-76.995672
"12","20745","3802","377577","RINGS, ADJUSTABLE STARDUST, 24",14.5,72,0.798611,0,0,28451,2814,2780,38.806935,-76.995672
"13","20745","3802","377571","NECKLACE, RHAPSODY, NCK50ASRHP",127,300,0.576666,0,0,28451,2814,2780,38.806935,-76.995672
"14","20745","3802","377489","EARRINGS, CHAIN DROP RHAPSODY,",18,44,0.590909,0,0,28451,2814,2780,38.806935,-76.995672
"15","20745","3802","377506","EARRINGS, STAR HOOP STARDUST,",38,88,0.568181,0,0,28451,2814,2780,38.806935,-76.995672
"16","20745","3802","377507","EARRINGSM STAR HOOP RHAPSODY,",38,88,0.568181,0,0,28451,2814,2780,38.806935,-76.995672
"17","20745","3802","377546","NECKLACE, ""HEATHER"" TURQUOISE",16.65,200,0.91675,0,0,28451,2814,2780,38.806935,-76.995672
"18","20745","3802","377548","NECKLACE, ""CHAR"" CLOUD BLUE, T",22.5,220,0.897727,0,0,28451,2814,2780,38.806935,-76.995672
"19","20745","3802","377562","NECKLACE, CHAIN CHOKER STARDUS",115,270,0.574074,0,0,28451,2814,2780,38.806935,-76.995672
"20","20745","3802","377401","BRACELET, AFTER MIDNIGHT, BCN6",80,200,0.6,0,0,28451,2814,2780,38.806935,-76.995672
"21","20745","3802","377397","BRACELET, CHAIN MULTI RHAPSODY",39,90,0.566666,0,0,28451,2814,2780,38.806935,-76.995672
"22","20745","3802","377514","EARRINGS, DROP RHAPSODY, ECD66",19,46,0.586956,0,0,28451,2814,2780,38.806935,-76.995672
"23","20745","3802","377404","BRACELET, LARGE STAR STARDUST,",76,176,0.568181,0,0,28451,2814,2780,38.806935,-76.995672
"24","20745","3802","377407","BRACELET, RECTANGULAR STARDUST",41,96,0.572916,0,0,28451,2814,2780,38.806935,-76.995672
"25","20745","3802","377542","NECKLACE, ""DOROTHY"" , AURORA T",20,360,0.944444,0,0,28451,2814,2780,38.806935,-76.995672
"26","20745","3802","377463","EARRINGS, FRENCH HOOK, CRYSTAL",13.5,78,0.826923,0,0,28451,2814,2780,38.806935,-76.995672
"27","20745","3802","377480","EARRINGS, PIERCED, ICED DENIM,",3,130,0.976923,0,0,28451,2814,2780,38.806935,-76.995672
"28","20745","3802","377534","NECKLACE, ""HEATHER"", TWILIGHT",18.5,210,0.911904,0,0,28451,2814,2780,38.806935,-76.995672
"29","20745","3802","377538","NECKLACE, ""MO"", TARA GODDESS,",18,360,0.95,0,0,28451,2814,2780,38.806935,-76.995672
"30","20745","3802","377494","EARRINGS, CLIP STARDUST, ECN13",26,64,0.59375,0,0,28451,2814,2780,38.806935,-76.995672
"31","20745","3802","377532","NECKLACE, ""SHERRY"" TWILIGHT SA",18.5,340,0.945588,0,0,28451,2814,2780,38.806935,-76.995672
"32","20745","3802","377513","EARRINGS, DROP STARDUST, ECD66",19,46,0.586956,0,0,28451,2814,2780,38.806935,-76.995672
"33","20745","3802","377469","EARRINGS, FRENCH HOOK W/CRY, C",14.5,70,0.792857,0,0,28451,2814,2780,38.806935,-76.995672
"34","20745","3802","377466","EARRINGS, FRENCH HOOK, BURGUND",12.5,74,0.831081,0,0,28451,2814,2780,38.806935,-76.995672
"35","20745","3802","377503","EARRINGS, STAR DROP STARDUST,",24,64,0.625,0,0,28451,2814,2780,38.806935,-76.995672
"36","20745","3803","377521","EARRINGS, ANTIQUE SILVER HOOPS",15,36,0.583333,0,0,28451,2814,2780,38.806935,-76.995672
"37","20745","3804","464935","*VBR SET 3-6 LOL LAYETTE SET",28.5,60,0.525,0,0,28451,2814,2780,38.806935,-76.995672
"38","20745","3804","464932","*VBR SET 6-9 LOL DRESS/LEGGING",26.5,56,0.526785,0,0,28451,2814,2780,38.806935,-76.995672
"39","20745","3804","464933","*VBR SET 9-12 LOL DRESS/LEGGIN",26.5,56,0.526785,0,0,28451,2814,2780,38.806935,-76.995672
